onset	duration	nwb_table	si_perf	blr_perf
0.0	33.504	trials	0.938988	0.45833334
34.552	33.624	trials	0.938988	0.44
69.224	32.28	trials	0.938988	0.64705884
102.56	32.80000000000001	trials	0.938988	0.4642857
136.432	33.696	trials	0.938988	0.4074074
171.184	32.408000000000015	trials	0.938988	0.4516129
204.64	30.936000000000007	trials	0.938988	0.41666666
236.656	31.639999999999986	trials	0.938988	0.45833334
269.344	32.42399999999998	trials	0.938988	0.44827586
302.8	33.21600000000001	trials	0.938988	0.5
