onset	duration	nwb_table	si_perf	blr_perf
0.0	92.888	trials	1.31636	0.375
93.944	182.23199999999997	trials	1.31636	0.625
277.232	209.856	trials	1.31636	0.75
488.104	159.57599999999996	trials	1.31636	0.75
648.744	260.67999999999995	trials	1.31636	1.0
910.48	136.01600000000008	trials	1.31636	0.75
1047.584	192.35199999999986	trials	1.31636	0.75
1240.992	97.84000000000015	trials	1.31636	0.75
1339.88	140.23199999999997	trials	1.31636	1.0
1481.168	150.9760000000001	trials	1.31636	0.75
1633.168	124.80800000000022	trials	1.31636	0.6
