onset	duration	nwb_table	si_perf	blr_perf
0.0	38.048	trials	1.65209	0.8
39.104	41.744	trials	1.65209	1.0
81.92	38.504000000000005	trials	1.65209	0.85714287
121.48	41.312	trials	1.65209	0.8333333
163.8	69.344	trials	1.65209	0.875
234.2	47.54400000000004	trials	1.65209	1.0
282.8	49.343999999999994	trials	1.65209	1.0
333.144	62.111999999999966	trials	1.65209	1.0
396.304	57.952	trials	1.65209	0.875
455.344	74.30400000000003	trials	1.65209	1.0
530.704	65.25600000000009	trials	1.65209	1.0
597.072	52.039999999999964	trials	1.65209	0.75
