onset	duration	nwb_table	si_perf	blr_perf
0.0	223.256	trials	0.52855	0.5
224.304	160.912	trials	0.52855	0.5
386.328	226.94400000000007	trials	0.52855	0.39130434
614.368	253.35199999999998	trials	0.52855	0.4
868.776	133.20000000000005	trials	0.52855	0.3181818
1003.064	116.84000000000003	trials	0.52855	0.4814815
1120.96	253.76800000000003	trials	0.52855	0.375
1375.8	173.79999999999995	trials	0.52855	0.3809524
1550.656	182.46399999999994	trials	0.52855	0.21052632
1734.176	67.6400000000001	trials	0.52855	0.5
