onset	duration	nwb_table	si_perf	blr_perf
0.0	78.904	trials	0.42092	0.425
79.984	58.152	trials	0.42092	0.45833334
139.216	80.19199999999998	trials	0.42092	0.44444445
220.456	62.48800000000003	trials	0.42092	0.5
284.0	59.54399999999998	trials	0.42092	0.47058824
344.52	57.120000000000005	trials	0.42092	0.5
402.56	58.20799999999997	trials	0.42092	0.6666667
461.792	96.68800000000005	trials	0.42092	0.51428574
559.544	63.27999999999997	trials	0.42092	0.45945945
623.776	49.21600000000001	trials	0.42092	0.60714287
674.032	67.26400000000001	trials	0.42092	0.5217391
