onset	duration	nwb_table	si_perf	blr_perf
0.0	44.416	trials	0.920882	0.30882353
45.472	50.352	trials	0.920882	0.85714287
96.896	71.008	trials	0.920882	1.0
168.96	49.328	trials	0.920882	0.7692308
219.336	89.632	trials	0.920882	0.8181818
310.016	99.62399999999997	trials	0.920882	0.22058824
410.688	84.26400000000001	trials	0.920882	0.85714287
496.032	115.88799999999998	trials	0.920882	0.85714287
612.944	188.4000000000001	trials	0.920882	0.44444445
802.424	53.55200000000002	trials	0.920882	0.6666667
856.992	93.096	trials	0.920882	1.0
951.144	110.24800000000005	trials	0.920882	0.78571427
1062.448	125.39999999999986	trials	0.920882	0.8888889
1188.928	64.4559999999999	trials	0.920882	0.54545456
1254.44	118.39200000000005	trials	0.920882	0.6
