onset	duration	nwb_table	si_perf	blr_perf
0.0	58.592	trials	0.953999	0.54545456
59.672	69.24000000000001	trials	0.953999	1.0
129.992	80.05600000000001	trials	0.953999	0.85714287
211.12	157.54399999999998	trials	0.953999	0.75
369.736	55.57600000000002	trials	0.953999	1.0
426.376	83.12800000000004	trials	0.953999	0.8333333
510.56	100.23200000000003	trials	0.953999	0.6315789
611.816	70.63999999999999	trials	0.953999	0.9230769
683.48	75.12799999999993	trials	0.953999	0.8333333
759.672	52.319999999999936	trials	0.953999	0.8888889
813.056	72.4799999999999	trials	0.953999	1.0
886.6	61.22399999999993	trials	0.953999	1.0
948.88	65.94399999999996	trials	0.953999	1.0
1015.92	87.13600000000008	trials	0.953999	1.0
1104.112	74.39999999999986	trials	0.953999	1.0
