onset	duration	nwb_table	si_perf	blr_perf
0.0	43.488	trials	1.82965	0.5714286
44.544	55.544	trials	1.82965	0.85714287
101.16	48.28	trials	1.82965	0.6666667
150.488	48.94399999999999	trials	1.82965	0.75
200.456	45.93600000000001	trials	1.82965	1.0
247.464	49.952	trials	1.82965	0.875
298.472	58.08800000000002	trials	1.82965	1.0
357.616	71.80000000000001	trials	1.82965	1.0
430.504	50.98399999999998	trials	1.82965	0.36363637
482.56	51.00799999999998	trials	1.82965	0.875
534.632	58.86400000000003	trials	1.82965	1.0
594.552	52.67999999999995	trials	1.82965	1.0
648.264	64.87199999999996	trials	1.82965	1.0
714.2	75.91999999999996	trials	1.82965	1.0
791.176	98.01599999999996	trials	1.82965	0.8333333
890.248	90.88799999999992	trials	1.82965	0.8333333
982.192	55.6880000000001	trials	1.82965	1.0
1038.928	60.71199999999999	trials	1.82965	1.0
1100.696	108.15200000000004	trials	1.82965	0.75
1209.92	50.17599999999993	trials	1.82965	1.0
1261.184	72.83200000000011	trials	1.82965	1.0
