onset	duration	nwb_table	si_perf	blr_perf
0.0	44.264	trials	2.34251	1.0
45.336	69.12	trials	2.34251	1.0
115.512	67.816	trials	2.34251	1.0
184.384	126.352	trials	2.34251	1.0
311.792	83.488	trials	2.34251	1.0
396.296	129.608	trials	2.34251	1.0
526.952	124.33600000000001	trials	2.34251	1.0
652.344	126.976	trials	2.34251	1.0
780.376	114.80000000000007	trials	2.34251	1.0
896.24	131.86400000000003	trials	2.34251	1.0
1029.128	121.69600000000014	trials	2.34251	1.0
1151.856	108.28800000000001	trials	2.34251	1.0
1261.208	106.48799999999983	trials	2.34251	1.0
1368.712	97.19200000000001	trials	2.34251	1.0
