onset	duration	nwb_table	si_perf	blr_perf
0.0	34.376	trials	2.18824	1.0
35.432	46.944	trials	2.18824	1.0
83.424	28.519999999999996	trials	2.18824	1.0
113.0	34.29599999999999	trials	2.18824	1.0
148.352	64.112	trials	2.18824	0.5714286
213.544	84.36799999999997	trials	2.18824	1.0
298.96	41.98400000000004	trials	2.18824	1.0
342.016	38.75999999999999	trials	2.18824	0.8333333
381.832	45.903999999999996	trials	2.18824	0.8333333
428.792	43.976	trials	2.18824	1.0
473.816	51.504000000000076	trials	2.18824	1.0
526.368	39.17599999999993	trials	2.18824	1.0
566.632	43.168000000000006	trials	2.18824	1.0
610.856	69.072	trials	2.18824	1.0
680.984	72.13599999999997	trials	2.18824	1.0
754.176	131.31999999999994	trials	2.18824	1.0
