onset	duration	nwb_table	si_perf	blr_perf
0.0	66.752	trials	0.676723	0.375
67.808	42.775999999999996	trials	0.676723	0.46153846
111.608	44.79999999999998	trials	0.676723	0.61904764
157.48	54.376000000000005	trials	0.676723	0.72727275
212.928	25.0	trials	0.676723	0.9166667
238.984	25.311999999999983	trials	0.676723	1.0
265.344	55.120000000000005	trials	0.676723	0.4
321.568	52.80799999999999	trials	0.676723	0.6
375.432	35.44799999999998	trials	0.676723	0.125
411.896	37.551999999999964	trials	0.676723	0.0
450.512	77.56	trials	0.676723	0.375
529.128	96.0	trials	0.676723	0.0
626.2	60.43999999999994	trials	0.676723	0.125
687.72	39.18399999999997	trials	0.676723	0.25
727.984	150.6719999999999	trials	0.676723	0.33333334
