onset	duration	nwb_table	si_perf	blr_perf
0.0	30.768	trials	1.18072	1.0
31.848	34.224000000000004	trials	1.18072	1.0
67.088	32.64800000000001	trials	1.18072	1.0
100.784	33.44799999999999	trials	1.18072	1.0
135.288	35.31199999999998	trials	1.18072	1.0
171.656	33.608000000000004	trials	1.18072	0.8888889
206.344	48.599999999999994	trials	1.18072	0.85714287
256.0	37.60000000000002	trials	1.18072	1.0
294.656	94.54399999999998	trials	1.18072	1.0
390.224	65.976	trials	1.18072	1.0
457.216	45.27999999999997	trials	1.18072	1.0
503.552	64.856	trials	1.18072	1.0
