onset	duration	nwb_table	si_perf	blr_perf
0.0	72.24	trials	1.28752	0.46153846
73.288	75.808	trials	1.28752	0.6
150.16	77.45600000000002	trials	1.28752	0.6666667
228.672	79.72	trials	1.28752	0.5833333
309.448	85.82400000000001	trials	1.28752	0.4117647
396.328	95.80000000000001	trials	1.28752	0.33333334
493.184	98.66399999999993	trials	1.28752	0.75
592.912	84.59999999999991	trials	1.28752	0.5833333
678.6	85.25599999999997	trials	1.28752	0.4117647
764.912	91.78399999999999	trials	1.28752	0.45454547
857.752	103.34400000000005	trials	1.28752	0.5882353
962.152	141.2639999999999	trials	1.28752	0.72727275
