onset	duration	nwb_table	si_perf	blr_perf
0.0	46.416	trials	1.29726	0.36363637
47.496	37.624	trials	1.29726	0.8
86.2	43.032	trials	1.29726	0.85714287
130.28	39.0	trials	1.29726	1.0
170.352	49.376000000000005	trials	1.29726	0.6666667
220.768	40.672	trials	1.29726	1.0
262.496	51.31200000000001	trials	1.29726	0.875
314.904	57.31999999999999	trials	1.29726	0.6
373.296	38.648000000000025	trials	1.29726	0.5555556
412.992	49.45599999999996	trials	1.29726	0.6666667
463.496	56.80000000000007	trials	1.29726	0.8
521.344	73.2399999999999	trials	1.29726	0.71428573
595.68	43.232000000000085	trials	1.29726	0.7
