onset	duration	nwb_table	si_perf	blr_perf
0.0	41.64	trials	1.22825	0.6315789
42.696	38.384	trials	1.22825	0.90909094
82.16	31.439999999999998	trials	1.22825	0.9
114.656	37.343999999999994	trials	1.22825	0.7692308
153.056	39.40799999999999	trials	1.22825	0.5
193.552	33.56	trials	1.22825	0.75
228.16	38.768	trials	1.22825	0.6923077
267.984	50.632000000000005	trials	1.22825	0.875
319.664	38.536	trials	1.22825	0.6363636
359.248	70.08800000000002	trials	1.22825	0.6666667
430.32	71.25600000000003	trials	1.22825	0.875
