onset	duration	nwb_table	si_perf	blr_perf
0.0	33.96	trials	1.74389	0.7777778
35.048	26.256	trials	1.74389	0.72727275
62.36	34.64	trials	1.74389	0.8333333
98.072	34.391999999999996	trials	1.74389	1.0
133.52	41.304	trials	1.74389	0.5555556
175.896	44.512	trials	1.74389	0.6666667
221.464	46.80000000000001	trials	1.74389	0.4
269.352	65.44	trials	1.74389	0.71428573
335.84	127.83200000000005	trials	1.74389	0.39130434
464.616	131.06399999999996	trials	1.74389	0.6363636
596.352	100.36000000000001	trials	1.74389	1.0
697.696	71.48799999999994	trials	1.74389	0.71428573
770.272	57.70399999999995	trials	1.74389	0.8333333
829.032	71.048	trials	1.74389	1.0
901.072	73.35199999999998	trials	1.74389	1.0
