onset	duration	nwb_table	si_perf	blr_perf
0.0	42.048	trials	1.18067	0.5714286
43.12	46.544000000000004	trials	1.18067	0.77272725
90.728	77.93599999999999	trials	1.18067	0.8
169.744	79.048	trials	1.18067	0.75
249.872	81.392	trials	1.18067	0.61904764
332.312	142.69599999999997	trials	1.18067	1.0
476.056	72.15199999999999	trials	1.18067	0.84615386
549.264	80.63999999999999	trials	1.18067	0.85714287
630.96	128.25599999999997	trials	1.18067	1.0
760.264	127.01599999999996	trials	1.18067	1.0
888.344	123.70399999999995	trials	1.18067	1.0
1013.104	74.39999999999986	trials	1.18067	0.8
