onset	duration	nwb_table	si_perf	blr_perf
0.0	38.696	trials	1.42793	1.0
39.744	38.056	trials	1.42793	1.0
78.88	48.28800000000001	trials	1.42793	1.0
128.28	50.672	trials	1.42793	1.0
180.032	56.16	trials	1.42793	1.0
237.248	48.81600000000003	trials	1.42793	1.0
287.024	41.45600000000002	trials	1.42793	0.875
329.528	52.95999999999998	trials	1.42793	1.0
383.544	48.624000000000024	trials	1.42793	1.0
433.224	45.512	trials	1.42793	0.875
479.776	56.079999999999984	trials	1.42793	1.0
536.912	52.847999999999956	trials	1.42793	1.0
590.752	61.680000000000064	trials	1.42793	1.0
653.512	70.70400000000006	trials	1.42793	1.0
725.328	62.57600000000002	trials	1.42793	1.0
788.952	67.82399999999996	trials	1.42793	1.0
857.84	59.87199999999996	trials	1.42793	1.0
918.776	58.40000000000009	trials	1.42793	1.0
978.256	81.54399999999998	trials	1.42793	0.85714287
