onset	duration	nwb_table	si_perf	blr_perf
0.0	46.344	trials	1.13937	0.9
47.4	84.912	trials	1.13937	0.8888889
133.384	143.66400000000002	trials	1.13937	0.75
278.096	199.40800000000002	trials	1.13937	0.45
478.52	71.096	trials	1.13937	0.5
550.696	157.36	trials	1.13937	0.85714287
709.128	87.952	trials	1.13937	0.6666667
798.136	163.3040000000001	trials	1.13937	0.8333333
962.488	140.53599999999983	trials	1.13937	0.875
1104.08	175.63200000000006	trials	1.13937	0.85714287
1280.768	199.05600000000004	trials	1.13937	0.375
1480.88	110.14399999999978	trials	1.13937	0.25
