onset	duration	nwb_table	si_perf	blr_perf
0.0	125.232	trials	1.35648	0.5
126.256	68.17599999999999	trials	1.35648	0.7777778
195.456	79.98400000000001	trials	1.35648	0.29166666
276.496	85.01600000000002	trials	1.35648	0.7777778
362.56	110.22399999999999	trials	1.35648	0.53846157
473.832	105.48800000000006	trials	1.35648	0.4117647
580.376	123.0	trials	1.35648	0.6666667
704.424	102.27999999999997	trials	1.35648	0.7
807.768	98.37599999999998	trials	1.35648	0.5
907.192	103.12800000000004	trials	1.35648	0.3529412
