onset	duration	nwb_table	si_perf	blr_perf
0.0	32.568	trials	1.22864	0.8333333
33.648	40.064	trials	1.22864	0.84615386
74.728	39.400000000000006	trials	1.22864	0.85714287
115.176	40.53599999999999	trials	1.22864	1.0
156.776	52.328	trials	1.22864	0.875
210.152	55.648000000000025	trials	1.22864	1.0
266.848	54.367999999999995	trials	1.22864	1.0
322.264	48.91199999999998	trials	1.22864	0.7777778
372.24	45.103999999999985	trials	1.22864	1.0
418.4	40.688000000000045	trials	1.22864	0.85714287
460.144	48.928	trials	1.22864	0.8333333
510.128	50.47200000000004	trials	1.22864	0.47058824
