onset	duration	nwb_table	si_perf	blr_perf
0.0	28.976	trials	2.05474	0.875
30.056	29.8	trials	2.05474	1.0
60.96	30.479999999999997	trials	2.05474	1.0
92.528	31.191999999999993	trials	2.05474	1.0
124.776	31.39999999999999	trials	2.05474	0.75
157.232	30.816000000000003	trials	2.05474	1.0
189.12	31.464	trials	2.05474	1.0
221.64	31.24000000000001	trials	2.05474	0.8888889
253.96	33.28799999999998	trials	2.05474	0.9230769
288.304	31.424000000000035	trials	2.05474	0.8888889
320.784	32.656000000000006	trials	2.05474	0.8333333
354.488	32.903999999999996	trials	2.05474	0.8888889
388.464	33.863999999999976	trials	2.05474	1.0
423.408	35.19200000000001	trials	2.05474	0.9
459.688	34.68000000000001	trials	2.05474	0.9166667
495.424	37.73599999999999	trials	2.05474	0.71428573
534.24	39.960000000000036	trials	2.05474	1.0
575.224	40.64799999999991	trials	2.05474	1.0
616.928	47.432000000000016	trials	2.05474	0.75
665.416	46.27999999999997	trials	2.05474	1.0
712.784	43.51200000000006	trials	2.05474	1.0
757.36	48.615999999999985	trials	2.05474	0.7777778
807.072	45.351999999999975	trials	2.05474	1.0
853.512	116.96000000000004	trials	2.05474	1.0
