onset	duration	nwb_table	si_perf	blr_perf
0.0	45.472	trials	1.32167	0.4117647
46.528	43.800000000000004	trials	1.32167	0.71428573
91.416	41.896000000000015	trials	1.32167	0.54545456
134.4	43.096000000000004	trials	1.32167	0.5714286
178.544	41.17599999999999	trials	1.32167	0.75
220.768	52.912000000000006	trials	1.32167	0.71428573
274.752	44.831999999999994	trials	1.32167	0.8181818
320.632	45.68000000000001	trials	1.32167	0.75
367.408	84.488	trials	1.32167	0.5882353
452.952	99.81600000000003	trials	1.32167	0.85714287
