onset	duration	nwb_table	si_perf	blr_perf
0.0	44.6	trials	0.536826	0.4
45.648	30.151999999999994	trials	0.536826	0.5833333
76.816	38.288	trials	0.536826	0.8333333
116.136	46.47200000000001	trials	0.536826	0.7777778
163.664	70.34400000000002	trials	0.536826	0.5217391
235.072	40.04000000000002	trials	0.536826	0.5
276.16	40.831999999999994	trials	0.536826	0.84615386
318.032	90.19200000000001	trials	0.536826	0.59090906
409.24	88.15999999999997	trials	0.536826	0.8333333
498.448	39.27200000000005	trials	0.536826	0.9166667
538.8	35.232000000000085	trials	0.536826	0.875
575.104	40.71199999999999	trials	0.536826	0.75
616.856	56.327999999999975	trials	0.536826	0.7692308
674.232	115.60800000000006	trials	0.536826	1.0
790.896	40.50400000000002	trials	0.536826	0.525
832.456	39.648000000000025	trials	0.536826	0.30882353
873.152	63.54399999999998	trials	0.536826	0.85714287
937.776	58.696000000000026	trials	0.536826	0.7222222
997.528	73.48800000000006	trials	0.536826	0.35
1072.072	84.35200000000009	trials	0.536826	0.43421054
