onset	duration	nwb_table	si_perf	blr_perf
0.0	68.64	trials	0.723207	0.79310346
69.704	54.664	trials	0.723207	0.9230769
125.424	73.54399999999998	trials	0.723207	0.75
200.024	67.16000000000003	trials	0.723207	0.6363636
268.256	51.152000000000044	trials	0.723207	0.6216216
320.456	69.95999999999998	trials	0.723207	0.575
391.488	71.632	trials	0.723207	0.65789473
464.176	211.88799999999998	trials	0.723207	0.5
677.136	215.45600000000002	trials	0.723207	0.6097561
893.656	131.61599999999999	trials	0.723207	0.3888889
1026.336	110.23199999999997	trials	0.723207	0.5641026
1137.632	98.952	trials	0.723207	0.67741936
1237.648	135.69600000000014	trials	0.723207	0.78571427
1374.464	111.33600000000001	trials	0.723207	0.30769232
1486.864	131.89599999999996	trials	0.723207	0.71428573
1619.808	113.88000000000011	trials	0.723207	0.75
1734.744	88.01600000000008	trials	0.723207	0.75
1823.824	79.15999999999985	trials	0.723207	0.9166667
