onset	duration	nwb_table	si_perf	blr_perf
0.0	32.2	trials	1.21241	0.75
33.384	39.584	trials	1.21241	0.6666667
74.016	32.16799999999999	trials	1.21241	0.75
107.2	33.288	trials	1.21241	0.6666667
141.536	32.66399999999999	trials	1.21241	0.9
175.248	46.44800000000001	trials	1.21241	0.6666667
222.744	42.21599999999998	trials	1.21241	0.71428573
266.016	37.80799999999999	trials	1.21241	0.8
304.88	37.536	trials	1.21241	1.0
343.472	43.11200000000002	trials	1.21241	0.5
387.608	48.416	trials	1.21241	0.75
437.08	41.584	trials	1.21241	0.7777778
