onset	duration	nwb_table	si_perf	blr_perf
0.0	143.952	trials	2.29043	1.0
145.008	90.048	trials	2.29043	1.0
236.128	82.71199999999999	trials	2.29043	1.0
319.888	89.64000000000004	trials	2.29043	1.0
410.584	220.09599999999995	trials	2.29043	1.0
631.768	118.78399999999999	trials	2.29043	1.0
751.608	90.72000000000003	trials	2.29043	1.0
843.4	133.81600000000003	trials	2.29043	1.0
978.272	108.29599999999994	trials	2.29043	1.0
1087.624	105.2639999999999	trials	2.29043	1.0
1193.944	97.0	trials	2.29043	1.0
1291.992	56.200000000000045	trials	2.29043	0.71428573
