onset	duration	nwb_table	si_perf	blr_perf
0.0	80.368	trials	0.0937034	0.42465752
81.432	50.04799999999999	trials	0.0937034	0.4848485
132.536	66.136	trials	0.0937034	0.47619048
199.728	54.06399999999999	trials	0.0937034	0.4923077
254.848	60.95999999999998	trials	0.0937034	0.453125
316.864	71.656	trials	0.0937034	0.43661973
389.592	52.17599999999999	trials	0.0937034	0.37288135
442.824	62.73599999999999	trials	0.0937034	0.43396226
506.608	71.71200000000005	trials	0.0937034	0.4909091
579.368	78.14399999999989	trials	0.0937034	0.4651163
658.56	79.56000000000006	trials	0.0937034	0.6
739.168	92.48799999999994	trials	0.0937034	0.4722222
832.704	143.99200000000008	trials	0.0937034	0.51724136
977.76	213.58400000000006	trials	0.0937034	0.8
1192.424	145.65599999999995	trials	0.0937034	0.6923077
