onset	duration	nwb_table	si_perf	blr_perf
0.0	34.32	trials	1.18703	0.7692308
35.376	37.687999999999995	trials	1.18703	0.84615386
74.088	40.32000000000001	trials	1.18703	0.53846157
115.464	39.21600000000001	trials	1.18703	0.84615386
155.736	40.208	trials	1.18703	0.72727275
197.0	39.77600000000001	trials	1.18703	0.5833333
237.84	40.29600000000002	trials	1.18703	0.45833334
279.216	39.94400000000002	trials	1.18703	0.625
320.216	42.27999999999997	trials	1.18703	0.5
363.552	41.367999999999995	trials	1.18703	0.78571427
405.968	45.26400000000001	trials	1.18703	0.64285713
452.28	43.52800000000002	trials	1.18703	0.9
496.904	44.84000000000003	trials	1.18703	0.6923077
542.816	45.031999999999925	trials	1.18703	0.75
588.904	51.70399999999995	trials	1.18703	0.6666667
