onset	duration	nwb_table	si_perf	blr_perf
0.0	30.688	trials	1.16862	0.75
31.76	27.423999999999996	trials	1.16862	0.45454547
60.24	30.255999999999993	trials	1.16862	0.6666667
91.56	32.78399999999999	trials	1.16862	0.8333333
125.416	39.632000000000005	trials	1.16862	0.8333333
166.096	49.512	trials	1.16862	0.5294118
216.664	44.08800000000002	trials	1.16862	1.0
261.84	53.184000000000026	trials	1.16862	0.5833333
316.072	49.103999999999985	trials	1.16862	0.75
366.232	41.103999999999985	trials	1.16862	0.9166667
408.384	37.75999999999999	trials	1.16862	0.7777778
447.192	44.44799999999998	trials	1.16862	0.5882353
492.696	47.21600000000001	trials	1.16862	0.72727275
