onset	duration	nwb_table	si_perf	blr_perf
0.0	24.856	trials	0.416782	0.0
25.92	53.016000000000005	trials	0.416782	0.25
79.984	66.448	trials	0.416782	0.0
147.472	70.19199999999998	trials	0.416782	0.25
218.72	67.648	trials	0.416782	0.0
287.424	20.224000000000046	trials	0.416782	0.0
308.704	32.384000000000015	trials	0.416782	0.0
342.136	40.40799999999996	trials	0.416782	0.0
383.6	68.26399999999995	trials	0.416782	0.75
452.92	70.99200000000002	trials	0.416782	0.7777778
524.96	61.67199999999991	trials	0.416782	0.8
587.68	98.72800000000007	trials	0.416782	0.85714287
687.456	42.86400000000003	trials	0.416782	0.0
731.368	201.98399999999992	trials	0.416782	0.125
934.408	234.3359999999999	trials	0.416782	0.25
1169.808	113.2159999999999	trials	0.416782	0.0
