onset	duration	nwb_table	si_perf	blr_perf
0.0	30.984	trials	1.78871	1.0
32.048	31.583999999999996	trials	1.78871	1.0
64.68	32.45599999999999	trials	1.78871	0.75
98.184	38.21600000000001	trials	1.78871	0.7
137.456	34.0	trials	1.78871	1.0
172.504	37.952	trials	1.78871	1.0
211.504	33.10400000000001	trials	1.78871	0.875
245.68	35.639999999999986	trials	1.78871	0.64285713
282.384	45.512	trials	1.78871	0.5
328.976	61.416	trials	1.78871	1.0
391.448	48.120000000000005	trials	1.78871	0.8333333
440.64	90.96000000000004	trials	1.78871	1.0
532.68	149.57600000000002	trials	1.78871	0.90909094
683.32	58.64799999999991	trials	1.78871	0.875
743.016	116.0	trials	1.78871	0.75
