onset	duration	nwb_table	si_perf	blr_perf
0.0	37.28	trials	0.988966	0.53333336
38.336	37.032	trials	0.988966	0.8
76.424	39.11999999999999	trials	0.988966	0.41666666
116.6	38.384000000000015	trials	0.988966	0.4347826
156.032	45.54399999999998	trials	0.988966	0.39285713
202.632	51.28	trials	0.988966	0.5652174
254.96	52.70399999999998	trials	0.988966	0.36363637
308.712	58.94400000000002	trials	0.988966	0.5
368.736	58.624000000000024	trials	0.988966	0.64
428.408	72.77600000000001	trials	0.988966	0.44444445
502.24	85.79999999999995	trials	0.988966	0.45454547
589.096	50.29600000000005	trials	0.988966	0.47368422
640.44	42.879999999999995	trials	0.988966	0.68421054
684.376	40.81600000000003	trials	0.988966	0.64
726.288	37.76800000000003	trials	0.988966	0.5833333
765.136	41.92000000000007	trials	0.988966	0.6666667
808.112	49.50400000000002	trials	0.988966	0.6086956
858.672	81.99199999999996	trials	0.988966	0.625
941.68	46.472000000000094	trials	0.988966	0.42105263
989.208	43.823999999999955	trials	0.988966	0.5
1034.056	49.81600000000003	trials	0.988966	1.0
1084.928	64.88799999999992	trials	0.988966	0.75
