onset	duration	nwb_table	si_perf	blr_perf
0.0	34.368	trials	0.651071	1.0
35.44	44.784000000000006	trials	0.651071	0.0
81.272	77.27999999999999	trials	0.651071	0.0
159.584	27.232	trials	0.651071	0.125
187.888	26.256	trials	0.651071	0.0
215.176	44.15199999999999	trials	0.651071	0.25
260.392	24.99200000000002	trials	0.651071	0.0
286.44	61.98399999999998	trials	0.651071	0.0
4967.936	29.01600000000053	trials	0.651071	0.2857143
4998.008	29.88000000000011	trials	0.651071	0.25
5028.936	25.248000000000502	trials	0.651071	0.5
5055.264	19.78399999999965	trials	0.651071	0.0
5076.104	20.743999999999687	trials	0.651071	0.0
5097.896	21.520000000000437	trials	0.651071	0.0
5120.488	20.407999999999447	trials	0.651071	0.0
5141.952	26.1279999999997	trials	0.651071	0.0
5169.136	54.719999999999345	trials	0.651071	0.5
