onset	duration	nwb_table	si_perf	blr_perf
0.0	41.48	trials	0.224322	0.27631578
42.512	39.879999999999995	trials	0.224322	0.39130434
83.448	50.104	trials	0.224322	0.34375
134.624	45.21600000000001	trials	0.224322	0.29411766
180.888	48.54399999999998	trials	0.224322	0.3139535
230.488	57.42399999999998	trials	0.224322	0.36486486
288.968	57.22399999999999	trials	0.224322	0.32352942
347.248	52.20800000000003	trials	0.224322	0.23529412
400.528	58.903999999999996	trials	0.224322	0.3653846
460.544	60.375999999999976	trials	0.224322	0.3
