onset	duration	nwb_table	si_perf	blr_perf
0.0	39.488	trials	0.990796	0.34615386
40.536	36.31999999999999	trials	0.990796	0.52
77.912	36.616	trials	0.990796	0.3809524
115.584	34.048	trials	0.990796	0.5833333
150.72	33.168000000000006	trials	0.990796	0.5
184.96	36.51999999999998	trials	0.990796	0.37931034
222.496	36.05600000000001	trials	0.990796	0.55
259.608	35.615999999999985	trials	0.990796	0.5416667
296.28	37.49600000000004	trials	0.990796	0.44444445
334.824	36.00799999999998	trials	0.990796	0.4814815
