onset	duration	nwb_table	si_perf	blr_perf
0.0	34.176	trials	1.48426	0.5833333
35.256	33.848	trials	1.48426	0.6666667
70.176	30.504000000000005	trials	1.48426	0.73333335
101.736	37.263999999999996	trials	1.48426	0.7777778
140.072	139.47199999999998	trials	1.48426	0.72727275
280.616	51.896000000000015	trials	1.48426	0.7
333.592	122.70400000000001	trials	1.48426	0.6666667
457.344	126.15199999999999	trials	1.48426	0.875
584.552	172.288	trials	1.48426	1.0
757.896	193.92000000000007	trials	1.48426	0.85714287
952.872	117.35199999999998	trials	1.48426	0.71428573
1071.28	107.43200000000002	trials	1.48426	1.0
