onset	duration	nwb_table	si_perf	blr_perf
0.0	78.344	trials	1.47745	0.75
79.4	133.952	trials	1.47745	0.75
214.376	232.24800000000002	trials	1.47745	0.7777778
447.696	88.43200000000002	trials	1.47745	0.25
537.144	120.42399999999998	trials	1.47745	0.7
658.624	111.06399999999996	trials	1.47745	1.0
770.744	109.88799999999992	trials	1.47745	1.0
881.712	100.12800000000004	trials	1.47745	0.5
982.896	103.32799999999997	trials	1.47745	1.0
1087.28	77.24800000000005	trials	1.47745	0.875
1165.584	87.24800000000005	trials	1.47745	0.6
1253.88	86.63199999999983	trials	1.47745	1.0
