onset	duration	nwb_table	si_perf	blr_perf
0.0	35.456	trials	1.00995	0.5555556
36.536	36.312	trials	1.00995	0.5263158
73.904	38.68000000000001	trials	1.00995	0.5882353
113.664	32.86399999999999	trials	1.00995	0.6923077
147.584	31.096000000000004	trials	1.00995	0.61538464
179.736	26.99200000000002	trials	1.00995	0.6666667
207.816	34.464	trials	1.00995	0.46666667
243.368	30.384000000000015	trials	1.00995	0.72727275
274.808	35.75200000000001	trials	1.00995	0.625
311.616	34.144000000000005	trials	1.00995	0.5714286
346.832	32.591999999999985	trials	1.00995	0.4375
380.472	29.840000000000032	trials	1.00995	0.8888889
411.368	32.831999999999994	trials	1.00995	0.5
445.256	28.79200000000003	trials	1.00995	0.71428573
475.12	28.903999999999996	trials	1.00995	0.7777778
505.08	33.83200000000005	trials	1.00995	0.6875
539.968	29.104000000000042	trials	1.00995	0.9
570.136	34.10400000000004	trials	1.00995	0.6
605.296	38.3119999999999	trials	1.00995	0.6666667
