onset	duration	nwb_table	si_perf	blr_perf
0.0	55.624	trials	0.616503	0.5833333
56.672	70.048	trials	0.616503	0.65217394
127.768	27.024	trials	0.616503	0.5625
155.84	49.79999999999998	trials	0.616503	0.63461536
206.696	43.208	trials	0.616503	0.7058824
250.944	45.792	trials	0.616503	0.6785714
297.792	35.03200000000004	trials	0.616503	0.64
333.88	48.57600000000002	trials	0.616503	0.375
383.52	107.464	trials	0.616503	0.75
492.04	125.52799999999996	trials	0.616503	0.5
618.632	126.05600000000004	trials	0.616503	0.25
745.76	134.60000000000002	trials	0.616503	0.25
881.416	128.3119999999999	trials	0.616503	0.75
1010.784	83.7600000000001	trials	0.616503	0.5
1095.6	139.40800000000013	trials	0.616503	0.5
