onset	duration	nwb_table	si_perf	blr_perf
0.0	31.592	trials	0.390907	0.46774194
32.68	28.616	trials	0.390907	0.5208333
62.344	36.24	trials	0.390907	0.47368422
99.656	30.048000000000002	trials	0.390907	0.46774194
130.76	34.52800000000002	trials	0.390907	0.4489796
166.336	35.14399999999998	trials	0.390907	0.52272725
202.528	42.488	trials	0.390907	0.46
246.096	35.872000000000014	trials	0.390907	0.5192308
283.016	53.89599999999996	trials	0.390907	0.46875
337.976	36.536	trials	0.390907	0.5
375.568	48.536	trials	0.390907	0.4262295
425.16	45.111999999999966	trials	0.390907	0.4509804
471.36	56.00800000000004	trials	0.390907	0.5102041
528.424	46.440000000000055	trials	0.390907	0.5
575.928	63.84000000000003	trials	0.390907	0.38709676
