onset	duration	nwb_table	si_perf	blr_perf
0.0	29.744	trials	0.374475	0.65625
30.824	31.16	trials	0.374475	0.5833333
63.056	33.288	trials	0.374475	0.5675676
97.44	35.26400000000001	trials	0.374475	0.64705884
133.76	34.816	trials	0.374475	0.5531915
169.632	32.184	trials	0.374475	0.6097561
202.864	29.096000000000004	trials	0.374475	0.5686275
233.024	30.99200000000002	trials	0.374475	0.6969697
265.072	63.70400000000001	trials	0.374475	0.5072464
329.832	49.71199999999999	trials	0.374475	0.44
380.6	113.76799999999997	trials	0.374475	0.48076922
495.424	153.808	trials	0.374475	0.44285715
