onset	duration	nwb_table	si_perf	blr_perf
0.0	17.152	trials	0.313493	0.6666667
18.208	18.168	trials	0.313493	0.5833333
37.464	14.608000000000004	trials	0.313493	0.33333334
53.128	22.616	trials	0.313493	0.46875
76.8	19.960000000000008	trials	0.313493	0.5483871
97.84	24.512	trials	0.313493	0.6363636
123.4	21.687999999999988	trials	0.313493	0.6136364
146.136	21.05600000000001	trials	0.313493	0.36
168.248	21.76000000000002	trials	0.313493	0.68421054
191.064	21.415999999999997	trials	0.313493	0.41666666
213.584	23.383999999999986	trials	0.313493	0.47368422
238.032	24.631999999999977	trials	0.313493	0.5
263.712	22.400000000000034	trials	0.313493	0.31451613
